wavenumber,reflectance
400.1569,31.230408534513927
400.639,30.523709737158363
401.1211,29.966383611597653
401.6032,29.417750496116355
402.0853,28.90733613787529
402.5674,28.555956383459836
403.0496,28.24365419355446
403.5317,28.028805118751094
404.0138,27.907022026518618
404.4959,27.883028192622785
404.978,27.833732585340066
405.4601,27.750612759217187
405.9423,27.708915679750103
406.4244,27.67718725328968
406.9065,27.609123437854755
407.3886,27.502751239490994
407.8707,27.3528235688162
408.3528,27.14322899460091
408.835,26.955100821567026
409.3171,26.7860375389334
409.7992,26.578642687971676
410.2813,26.347674571794656
410.7634,26.160548765826267
411.2455,26.016397912464818
411.7277,25.89203102436381
412.2098,25.804171160770686
412.6919,25.70732942376537
413.174,25.59981085505058
413.6561,25.518525480644534
414.1382,25.454304730287376
414.6204,25.378143636729053
415.1025,25.292111521818097
415.5846,25.204177448287286
416.0667,25.10777740869735
416.5488,25.011248265378168
417.0309,24.91403686140584
417.5131,24.806268213392396
417.9952,24.68864889873384
418.4773,24.551593078430994
418.9594,24.391719349133027
419.4415,24.212823907579917
419.9236,24.010710393996163
420.4058,23.830598366422414
420.8879,23.675659200880656
421.37,23.519873921355817
421.8521,23.37487479592402
422.3342,23.243075281250512
422.8163,23.12419949898401
423.2985,23.027321267182977
423.7806,22.954429853183715
424.2627,22.864319555439
424.7448,22.75641820650741
425.2269,22.653475885623685
425.709,22.546031571980542
426.1912,22.422654736781563
426.6733,22.283133320330105
427.1554,22.125110349593356
427.6375,21.944578110778338
428.1196,21.79457271450748
428.6017,21.677596074484697
429.0839,21.56391913745168
429.566,21.46661353235501
430.0481,21.40071506518464
430.5302,21.366995664225996
431.0123,21.3696245122212
431.4944,21.414293385327667
431.9766,21.44411394732169
432.4587,21.457682750996035
432.9408,21.488808504980717
433.4229,21.52446200776357
433.905,21.552749747973827
434.3871,21.5744432695606
434.8693,21.584731103786673
435.3514,21.579619761287628
435.8335,21.59716357038425
436.3156,21.637686642257584
436.7977,21.678317829490656
437.2798,21.727387319937165
437.762,21.772827407416457
438.2441,21.811741093319217
438.7262,21.856115804969036
439.2083,21.90252852886665
439.6904,21.943183297922364
440.1725,21.978557437663227
440.6547,22.009533813159006
441.1368,22.03412947029895
441.6189,22.05377726542646
442.101,22.067763548989976
442.5831,22.07337091094537
443.0652,22.070223663842462
443.5474,22.05722453898652
444.0295,22.03325062468307
444.5116,21.99787156627116
444.9937,21.95007730926745
445.4758,21.92292957882738
445.9579,21.919082930213353
446.4401,21.921662410909427
446.9222,21.93968017277096
447.4043,21.967734021754104
447.8864,22.005792541950267
448.3685,22.064782573020018
448.8506,22.144708885809543
449.3328,22.208656027577764
449.8149,22.25589306291114
450.297,22.305208052087558
450.7791,22.347754745051
451.2612,22.39154366475244
451.7433,22.437594889388503
452.2255,22.474579648456743
452.7076,22.503755548342202
453.1897,22.554373654258647
453.6718,22.62702861251573
454.1539,22.708082303743094
454.636,22.80473974315861
455.1182,22.90157184166001
455.6003,22.997298368284305
456.0824,23.105541905067604
456.5645,23.222974425950575
457.0466,23.335847297133455
457.5287,23.444612719131595
458.0109,23.553575832056865
458.493,23.659424856948146
458.9751,23.75922461435361
459.4572,23.852013571815853
459.9393,23.936076702796267
460.4214,24.00971273234527
460.9036,24.0930146053865
461.3857,24.186554526072527
461.8678,24.278580867170007
462.3499,24.37377290606588
462.832,24.476346450414706
463.3141,24.58613140895256
463.7963,24.70494929490393
464.2784,24.834289364510138
464.7605,24.95710199244799
465.2426,25.072985146498052
465.7247,25.191829765425368
466.2068,25.309706717868398
466.689,25.427308920630367
467.1711,25.545225027020006
467.6532,25.659965002087215
468.1353,25.771519125622543
468.6174,25.894374775460697
469.0995,26.029064916780445
469.5817,26.168427032787413
470.0638,26.31609451587737
470.5459,26.46262425962718
471.028,26.607130258698884
471.5101,26.757262759640394
471.9922,26.910820017391362
472.4744,27.04931599900422
472.9565,27.17169912083487
473.4386,27.285008041707155
473.9207,27.384076543303824
474.4028,27.481182931715594
474.8849,27.576572194603582
475.3671,27.659406976425025
475.8492,27.731920805744444
476.3313,27.819230902006566
476.8134,27.922165312590348
477.2955,28.030054930832904
477.7776,28.149427868667917
478.2598,28.262418504143056
478.7419,28.367953993647944
479.224,28.48048446523062
479.7061,28.596170194477292
480.1882,28.708350152916704
480.6703,28.818156101699305
481.1525,28.926151959096547
481.6346,29.030994636297603
482.1167,29.14025351703013
482.5988,29.254152094336956
483.0809,29.367911778611195
483.563,29.483231380040042
484.0452,29.595614674342745
484.5273,29.704236507184113
485.0094,29.81250613529865
485.4915,29.919119761747126
485.9736,30.02553245982388
486.4557,30.132069546009976
486.9379,30.23688888681159
487.42,30.34033492326509
487.9021,30.44200217261046
488.3842,30.541543156416996
488.8663,30.639342257439846
489.3484,30.735142873299303
489.8306,30.831476414638324
490.3127,30.928549020337492
490.7948,31.024873981150392
491.2769,31.121114688635437
491.759,31.213857989729057
492.2411,31.30272302802938
492.7233,31.389891256106182
493.2054,31.474442322194125
493.6875,31.558135370393124
494.1696,31.64122145667563
494.6517,31.722064140304063
495.1339,31.801089683325866
495.616,31.881088913186634
496.0981,31.96214434689105
496.5802,32.04325469758396
497.0623,32.12516705575983
497.5444,32.205938348829974
498.0266,32.2855173628742
498.5087,32.365538915249616
498.9908,32.44563094804349
499.4729,32.519931975371094
499.955,32.58808306421096
500.4371,32.65261964676913
500.9193,32.71193534598642
501.4014,32.76988451789122
501.8835,32.8266430019924
502.3656,32.87886668522303
502.8477,32.92731980096553
